ISOCode,Year,AnnualGasemissions
EGY,1974,61798296.0
EGY,1975,68374490.0
EGY,1976,73578680.0
EGY,1977,78511580.0
EGY,1978,81992710.0
EGY,1979,86325210.0
EGY,1980,90884290.0
EGY,1981,97390270.0
EGY,1982,105166390.0
EGY,1983,107502550.0
EGY,1984,117626584.0
EGY,1985,120105624.0
EGY,1986,131368610.0
EGY,1987,134321760.0
EGY,1988,134405740.0
EGY,1989,133160670.0
EGY,1990,142751650.0
EGY,1991,158372030.0
EGY,1992,161902200.0
EGY,1993,175195310.0
EGY,1994,170103970.0
EGY,1995,180031400.0
EGY,1996,178123180.0
EGY,1997,193625490.0
EGY,1998,202877090.0
EGY,1999,209711840.0
EGY,2000,225985740.0
EGY,2001,211437920.0
EGY,2002,213576750.0
EGY,2003,239678260.0
EGY,2004,245198200.0
EGY,2005,266581010.0
EGY,2006,279943420.0
EGY,2007,291254820.0
EGY,2008,303441440.0
EGY,2009,310244770.0
EGY,2010,304071300.0
EGY,2011,320263940.0
EGY,2012,315408700.0
EGY,2013,310313380.0
EGY,2014,324867550.0
EGY,2015,320361150.0
EGY,2016,336291600.0
EGY,2017,360650620.0
EGY,2018,345413100.0
EGY,2019,353923840.0
EGY,2020,322626050.0
EGY,2021,345485400.0
EGY,2022,357544540.0
SLV,1850,3048770.5
SLV,1851,3422413.5
SLV,1852,3396527.0
SLV,1853,3364705.2
SLV,1854,3249084.2
SLV,1855,3178607.8
SLV,1856,3169639.0
SLV,1857,3139511.5
SLV,1858,3365685.2
SLV,1859,3717850.8
SLV,1860,3301830.0
SLV,1861,2799008.0
SLV,1862,3230819.0
SLV,1863,2921666.0
SLV,1864,2937012.8
SLV,1865,2921301.5
SLV,1866,3122588.5
SLV,1867,3044049.0
SLV,1868,3221702.5
SLV,1869,3287930.5
SLV,1870,3403059.5
SLV,1871,3194177.5
SLV,1872,3488636.5
SLV,1873,3763480.8
SLV,1874,3629466.2
SLV,1875,4074817.8
SLV,1876,3602104.0
SLV,1877,3391505.0
SLV,1878,3671221.8
SLV,1879,3745614.8
SLV,1880,3658536.8
SLV,1881,4062597.5
SLV,1882,3936656.5
SLV,1883,3556390.0
SLV,1884,4125017.2
SLV,1885,3939618.2
SLV,1886,3731663.0
SLV,1887,3979273.5
SLV,1888,4151240.2
SLV,1889,4002220.0
SLV,1890,3736007.2
SLV,1891,3668798.8
SLV,1892,4021800.2
SLV,1893,3862515.8
SLV,1894,3645247.5
SLV,1895,3630754.8
SLV,1896,3781185.2
SLV,1897,3545923.0
SLV,1898,3705123.0
SLV,1899,4099014.5
SLV,1900,4361775.0
SLV,1901,5044929.0
SLV,1902,5130758.5
SLV,1903,5881135.0
SLV,1904,6030264.5
SLV,1905,5980154.0
SLV,1906,6241654.0
SLV,1907,6458736.5
SLV,1908,6427903.0
SLV,1909,6199839.0
SLV,1910,7658486.0
SLV,1911,8682072.0
SLV,1912,8876093.0
